x,y,s,xy,pxy,yx,pyx
9,47,16,3,0.1875,13,0.8125
9,35,2,0,0.0,2,1.0
32,52,8,6,0.75,2,0.25
13,32,1,0,0.0,1,1.0
9,97,6,6,1.0,0,0.0
10,24,13,0,0.0,13,1.0
10,26,9,4,0.4444444444444444,5,0.5555555555555556
18,24,23,3,0.13043478260869565,20,0.8695652173913043
26,47,17,1,0.058823529411764705,16,0.9411764705882353
29,81,1,1,1.0,0,0.0
26,81,3,3,1.0,0,0.0
32,34,12,6,0.5,6,0.5
9,92,1,1,1.0,0,0.0
26,92,5,1,0.2,4,0.8
10,25,8,1,0.125,7,0.875
3,47,3,0,0.0,3,1.0
7,10004,2,2,1.0,0,0.0
34,10004,1,1,1.0,0,0.0
26,10004,1,1,1.0,0,0.0
9,22,11,0,0.0,11,1.0
14,60,14,9,0.6428571428571429,5,0.35714285714285715
60,65,1,1,1.0,0,0.0
34,60,3,2,0.6666666666666666,1,0.3333333333333333
14,65,3,3,1.0,0,0.0
34,65,1,0,0.0,1,1.0
29,92,8,6,0.75,2,0.25
12,22,2,1,0.5,1,0.5
11,22,3,1,0.3333333333333333,2,0.6666666666666666
18,47,7,2,0.2857142857142857,5,0.7142857142857143
18,92,3,2,0.6666666666666666,1,0.3333333333333333
34,47,7,1,0.14285714285714285,6,0.8571428571428571
47,92,1,1,1.0,0,0.0
34,92,3,2,0.6666666666666666,1,0.3333333333333333
49,92,2,1,0.5,1,0.5
28,92,7,4,0.5714285714285714,3,0.42857142857142855
15,26,6,5,0.8333333333333334,1,0.16666666666666666
