
gaNa	iw_XAwu	mng	paxI	Heritage	saMsAXanI	Apte-dict-form
BvAxiH	Xrajaz	gawO	pa.pa	-	Xraj1	Xraj
BvAxiH	Xrajiz	gawO	pa.pa	-	Xraj2	XraFj
BvAxiH	Xqjaz	gawO	pa.pa	-	Xqj1	Xqj
BvAxiH	Xqjiz	gawO	pa.pa	-	Xqj2	XqFj
BvAxiH	Xvajaz	gawO	pa.pa	-	Xvaj1	Xvaj
BvAxiH	Xvajiz	gawO	pa.pa	-	Xvaj2	XvaFj
BvAxiH	kUjaz	avyakwe_Sabxe	pa.pa	kUj	kUj1	kUj
BvAxiH	arjaz	arjane	pa.pa	qj	arj1	arj
BvAxiH	Rarjaz	arjane	pa.pa	-	Rarj1	sarj
BvAxiH	garjaz	Sabxe	pa.pa	garj	garj1	garj
BvAxiH	warjaz	Barwsane	pa.pa	warj	warj1	warj
BvAxiH	karjaz	vyaWane	pa.pa	-	karj1	karj
BvAxiH	Karjaz	mArjane	pa.pa	-	Karj1	Karj
BvAxiH	Karjaz	pUjane	pa.pa	-	Karj1	Karj
BvAxiH	Karjaz	vyaWane	pa.pa	-	Karj1	Karj
BvAxiH	ajaz	gawO	pa.pa	aj	aj1	aj
BvAxiH	ajaz	kRepaNe	pa.pa	aj	aj1	aj
BvAxiH	wejaz	pAlane	pa.pa	-	wej1	wej
BvAxiH	Kajaz	manWe	pa.pa	-	Kaj1	Kaj
BvAxiH	Kajaz	pAlane	pa.pa	-	Kaj1	Kaj
BvAxiH	Kajiz	gawivEkalye	pa.pa	KaFj#1	Kaj2	KaFj
BvAxiH	ejqz	xIpwO	A.pa	-	ej2	ej
BvAxiH	tuozsPUrjAz	vajranirGoRe	pa.pa	-	sPUrj1	sPUrj
BvAxiH	kRi	kRaye	pa.pa	kRi	kRi1	kRi
BvAxiH	kRIjaz	avyakwe_Sabxe	pa.pa	-	kRIj1	kRIj
BvAxiH	lajaz	Barjane	pa.pa	-	laj1	laj
BvAxiH	lajaz	Barwsane	pa.pa	-	laj1	laj
BvAxiH	lajiz	Barjane	pa.pa	-	laj2	laFj
BvAxiH	lajiz	Barwsane	pa.pa	-	laj2	laFj
BvAxiH	lAjaz	Barjane	pa.pa	-	lAj1	lAj
BvAxiH	lAjaz	Barwsane	pa.pa	-	lAj1	lAj
BvAxiH	lAjiz	Barjane	pa.pa	-	lAj2	lAFj
BvAxiH	lAjiz	Barwsane	pa.pa	-	lAj2	lAFj
BvAxiH	jajaz	yuxXe	pa.pa	-	jaj1	jaj
BvAxiH	jajiz	yuxXe	pa.pa	-	jaj2	jaFj
BvAxiH	wujaz	hiMsAyAm	pa.pa	-	wuj1	wuj
BvAxiH	wujiz	hiMsAyAm	pa.pa	-	wuj2	wuFj
BvAxiH	wujiz	pAlane	pa.pa	-	wuj2	wuj
BvAxiH	gajaz	maxe	pa.pa	gaj	gaj1	gaj
BvAxiH	gajaz	Sabxe	pa.pa	gaj	gaj1	gaj
BvAxiH	gajiz	Sabxe	pa.pa	-	gaj2	gaFj
BvAxiH	gqjaz	Sabxe	pa.pa	-	gqj1	gqj
BvAxiH	gqjiz	Sabxe	pa.pa	-	gqj2	gqFj
BvAxiH	mujaz	Sabxe	pa.pa	-	muj1	muj
BvAxiH	mujiz	Sabxe	pa.pa	-	muj2	muFj
BvAxiH	vajaz	gawO	pa.pa	vaj	vaj1	vaj
BvAxiH	vrajaz	gawO	pa.pa	vraj	vraj1	vraj
BvAxiH	awtaz	awikramaNe	A.pa	-	awt1	att
BvAxiH	awtaz	hiMsAyAm	A.pa	-	awt1	att
BvAxiH	veRtaz	veRtane	A.pa	veRt	veRt1	veRt
BvAxiH	ceRtaz	ceRtAyAm	A.pa	ceRt	ceRt1	ceRt
BvAxiH	goRtaz	safGAwe	A.pa	-	goRt1	goRt
BvAxiH	loRtaz	safGAwe	A.pa	-	loRt1	loRt
BvAxiH	Gawtaz	calane	A.pa	Gatt	Gawt1	Gatt
BvAxiH	sPutaz	vikasane	A.pa	-	sPut1	sPut
BvAxiH	aTiz	gawO	A.pa	-	aT2	aNT
BvAxiH	vaTiz	ekacaryAyAm	A.pa	-	vaT2	vaNT
BvAxiH	maTiz	Soke	A.pa	-	maT2	maNT
BvAxiH	kaTiz	Soke	A.pa	-	kaT2	kaNT
BvAxiH	muTiz	pAlane	A.pa	-	muT1	muNT
BvAxiH	muTiz	palAyane	A.pa	-	muT1	muNT
BvAxiH	heTaz	vibAXAyAm	A.pa	-	heT1	heT
BvAxiH	eTaz	vibAXAyAm	A.pa	-	eT1	eT
BvAxiH	hidiz	anAxare	A.pa	-	hid1	hiNd
BvAxiH	hidiz	gawO	A.pa	-	hid1	hiNd
BvAxiH	hudiz	haraNe	A.pa	-	hud1	huNd
BvAxiH	hudiz	safGAwe	A.pa	huNd	hud1	huNd
BvAxiH	hudiz	varaNe	A.pa	-	hud1	huNd
BvAxiH	kudiz	vEkalye	pa.pa	kuNd	kud1	kuNd
BvAxiH	vadiz	veRtane	A.pa	-	vad1	vaNd
BvAxiH	vadiz	viBAjane	A.pa	-	vad1	vaNd
BvAxiH	madiz	BURAyAm	pa.pa	maNd	mad1	maNd
BvAxiH	Badiz	pariBARaNe	A.pa	-	Bad1	BaNd
BvAxiH	Badiz	parihAse	A.pa	BaNd	Bad1	BaNd
BvAxiH	pidiz	safGAwe	A.pa	-	pid1	piNd
BvAxiH	mudiz	KaNdane	pa.pa	-	mud2	muNd
BvAxiH	mudiz	pramarxane	pa.pa	-	mud2	muNd
BvAxiH	wudiz	wodane	A.pa	-	wud2	wuNd
BvAxiH	Sadiz	rujAyAm	A.pa	-	Sad1	SaNd
BvAxiH	Sadiz	safGAwe	A.pa	-	Sad1	SaNd
BvAxiH	wadiz	wAdane	A.pa	-	wad1	waNd
BvAxiH	padiz	gawO	A.pa	-	pad1	paNd
BvAxiH	cadiz	kope	A.pa	-	cad1	caNd
BvAxiH	Kadiz	manWe	A.pa	KaNd	Kad1	KaNd
BvAxiH	hedqz	anAxare	A.pa	-	hed1	hed
BvAxiH	hodqz	anAxare	A.pa	-	hod1	hod
BvAxiH	hodqz	gawO	pa.pa	-	hod1	hod
BvAxiH	xrAdqz	viSaraNe	A.pa	-	xrAd1	xrAd
BvAxiH	XrAdqz	viSaraNe	A.pa	-	XrAd1	XrAd
BvAxiH	SAdqz	SlAGAyAm	A.pa	-	SAd1	SAd
BvAxiH	SOtqz	garve	pa.pa	-	SOt1	SOt
BvAxiH	yOtqz	banXane	pa.pa	-	yOt1	yOt
BvAxiH	mletqz	unmAxe	pa.pa	-	mlet1	mlet
BvAxiH	katez	AvaraNe	pa.pa	-	kat1	kat
BvAxiH	katez	varRAyAm	pa.pa	-	kat1	kat
BvAxiH	ataz	gawO	pa.pa	at	at1	at
BvAxiH	pataz	gawO	pa.pa	pat	pat1	pat
BvAxiH	rataz	pariBARaNe	pa.pa	-	rat1	rat
BvAxiH	lataz	bAlye	pa.pa	-	lat1	lat
