Sr.No.	HEADWORD	GENDER	AMAR	ABCH	ACPH	ACSJ	ACVH
4433	पशुरज्जु	स्त्री	2764	3869	x	x	x
4433	दामनी	स्त्री	2764	3869	x	x	x
4434	वैशाख	पुं	2765	3123	x	x	x
4434	मन्थ	पुं	2765	3123	x	x	x
4434	मन्थान	पुं	2765	3123	x	x	x
4434	मन्था	पुं	2765	x	x	x	x
4434	मन्थदण्डक	पुं	2765	3123	x	x	x
4434	खजक	पुं	x	3123	x	x	x
4434	मथिन्	पुं	x	3123	x	x	x
4434	क्षुब्ध	पुं	x	3123	x	x	x
4434	खज	पुं	x	x	x	3123	3123
4434	खजाक	पुं	x	x	x	3123	x
4435	कुठर	पुं	2766	x	x	x	x
4435	दण्डविष्कम्भ	पुं	2766	x	x	x	x
4435	विष्कम्भ	पुं	x	3124	x	x	x
4435	मञ्जीर	पुं	x	3124	x	x	x
4435	कुटर	पुं	x	3124	x	x	x
4435	महानील	क्ली	x	x	x	3124	x
4435	दण्डकरोट	क्ली	x	x	x	x	3124
4436	मन्थनी	स्त्री	2767	3122	x	x	x
4436	गर्गरी	स्त्री	2767	3122	x	x	x
4436	कलसी	स्त्री	x	3122	x	x	x
4437	उष्ट्र	पुं	2768	3806	x	x	x
4437	क्रमेलक	पुं	2768	3806	x	x	x
4437	मय	पुं	2768	3806	x	x	x
4437	महाङ्ग	पुं	2768	3806	x	x	x
4437	कुलनाश	पुं	x	3806	x	x	x
4437	शिशुनामन्	पुं	x	3806	x	x	x
4437	शल	पुं	x	3806	x	x	x
4437	भोलि	पुं	x	3806	x	x	x
4437	मरुप्रिय	पुं	x	3806	x	x	x
4437	वासन्त	पुं	x	3806	x	x	x
4437	द्विककुद्	पुं	x	3806	x	x	x
4437	दुर्गलङ्घन	पुं	x	3806	x	x	x
4437	भूतघ्न	पुं	x	3806	x	x	x
4437	दासेर	पुं	x	3806	x	x	x
4437	रवण	पुं	x	3806	x	x	x
4437	कण्टकाशन	पुं	x	3806	x	x	x
4437	दीर्घग्रीव	पुं	x	3806	x	x	x
4437	केलिकीर्ण	पुं	x	3806	x	x	x
4437	मयु	पुं	x	x	x	3806	x
4437	ऊष्ट्र	पुं	x	x	x	3806	x
4438	करभ	पुं	2769	3807	x	x	x
4439	शृङ्खलक	पुं	2770	3808	x	x	x
4440	अजा	स्त्री	2771	3871	x	x	x
4440	छागी	स्त्री	2771	x	x	x	x
4440	छागिका	स्त्री	x	3871	x	x	x
4440	मञ्जा	स्त्री	x	3871	x	x	x
4440	सर्वभक्षा	स्त्री	x	3871	x	x	x
4440	गलस्तनी	स्त्री	x	3871	x	x	x
4441	स्तभ	पुं	2772	3870	x	x	x
4441	छाग	पुं	2772	3870	x	x	x
4441	वस्त	पुं	2772	3870	x	x	x
4441	छगलक	पुं	2772	x	x	x	x
4441	अज	पुं	2772	3870	x	x	x
4441	छगल	पुं	x	3870	x	x	x
4441	छग	पुं	x	3870	x	x	x
4441	पशु	पुं	x	3870	x	x	x
4441	शुभ	पुं	x	x	x	3870	x
4442	मेढ्र	पुं	2773	x	x	x	x
4442	उरभ्र	पुं	2773	3873	x	x	x
4442	उरण	पुं	2773	3873	x	x	x
4442	ऊर्णायु	पुं	2773	3873	x	x	x
4442	मेष	पुं	2773	x	x	x	x
4442	वृष्णि	पुं	2773	3873	x	x	x
4442	एडक	पुं	2773	3873	x	x	x
4442	अवि	पुं	x	3873	x	x	x
4442	मेष	पुंक्ली	x	3873	x	x	x
4442	हुड	पुं	x	3873	x	x	x
4442	मेण्ढक	पुं	x	3873	x	x	x
4442	रोमश	पुं	x	3873	x	x	x
4442	हुडु	पुं	x	3873	x	x	x
4442	सम्फाल	पुं	x	3873	x	x	x
4442	शृङ्गिण	पुं	x	3873	x	x	x
4442	भेड	पुं	x	3873	x	x	x
4443	मेषी	स्त्री	x	3874	x	x	x
4443	कुररी	स्त्री	x	3874	x	x	x
4443	रुजा	स्त्री	x	3874	x	x	x
4443	जालकिनी	स्त्री	x	3874	x	x	x
4443	अविला	स्त्री	x	3874	x	x	x
4443	वेणी	स्त्री	x	3874	x	x	x
4444	ईडिक्क	पुं	x	3875	x	x	x
4444	शिशुवाहक	पुं	x	3875	x	x	x
4444	पृष्ठशृङ्ग	पुं	x	3875	x	x	x
4444	वनाज	पुं	x	3875	x	x	x
4445	अविदुग्ध	क्ली	x	3876	x	x	x
4445	अविसोढ	क्ली	x	3876	x	x	x
4445	अविदूस	क्ली	x	3876	x	x	x
4445	अविमरीस	क्ली	x	3876	x	x	x
4446	औष्ट्रक	क्ली	2774	4241	x	x	x
4447	राजपुत्रक	क्ली	x	4242	x	x	x
4448	औरभ्रक	क्ली	2775	4247	x	x	x
4449	आजक	क्ली	2776	4245	x	x	x
4450	चक्रीवत्	पुं	2777	3809	x	x	x
4450	वालेय	पुं	2777	3809	x	x	x
4450	रासभ	पुं	2777	3809	x	x	x
4450	गर्दभ	पुं	2777	3809	x	x	x
4450	खर	पुं	2777	3809	x	x	x
4450	चिरमेहिन्	पुं	x	3809	x	x	x
4450	शङ्कुकर्ण	पुं	x	3809	x	x	x
4451	वैदेहक	पुं	2778	x	x	x	x
4451	सार्थवाह	पुं	2778	2636	x	x	x
4451	नैगम	पुं	2778	2636	x	x	x
4451	वाणिज	पुं	2778	2636	x	x	x
4451	वणिज्	पुं	2778	2636	x	x	x
4451	पण्याजीव	पुं	2778	2636	x	x	x
4451	आपणिक	पुं	2778	2636	x	x	x
4451	क्रयविक्रयिक	पुं	2778	2636	x	x	x
4451	वैदेह	पुं	x	2636	x	x	x
4451	प्रापणिक	पुं	x	x	x	2636	2636
4452	विक्रेतृ	पुं	2779	x	x	x	x
4452	विक्रयिक	पुं	2779	2638	x	x	x
4452	क्रेयद	पुं	x	2638	x	x	x
4452	विक्रायक	पुं	x	2638	x	x	x
4452	विक्रयिन्	पुं	x	2638	x	x	x
4453	क्रायक	पुं	2780	2637	x	x	x
4453	क्रयिक	पुं	2780	2637	x	x	x
4453	क्रयिन्	पुं	x	2637	x	x	x
4454	वाणिज्य	क्ली	2781	2624	x	x	x
4454	वणिज्या	स्त्री	2781	x	x	x	x
4455	मूल्य	क्ली	2782	2639	x	x	x
4455	वस्न	पुं	2782	x	x	x	x
4455	अवक्रय	पुं	2782	2639	x	x	x
4455	वस्न	पुंक्ली	x	2639	x	x	x
4455	अर्घ	पुं	x	2639	x	x	x
4455	वक्रय	पुं	x	2639	x	x	x
4455	भाटक	पुं	x	x	2639	x	x
4456	नीवी	स्त्री	2783	2640	x	x	x
4456	परिपण	पुं	2783	2640	x	x	x
4456	मूलधन	क्ली	2783	x	x	x	x
4456	मूलद्रव्य	क्ली	x	2640	x	x	x
4457	लाभ	पुं	2784	2641	x	x	x
4457	अधिक	त्रि	2784	x	x	x	x
4457	फल	क्ली	2784	2641	x	x	x
4458	परिदान	क्ली	2785	2642	x	x	x
4458	परीवर्त	पुं	2785	x	x	x	x
4458	नैमेय	पुं	2785	2642	x	x	x
4458	नियम	पुं	2785	x	x	x	x
4458	विनिमय	पुं	x	2642	x	x	x
4458	परिवर्तन	क्ली	x	2642	x	x	x
4458	व्यतिहार	पुं	x	2642	x	x	x
4458	परावर्त	पुं	x	2642	x	x	x
4458	वैमेय	पुं	x	2642	x	x	x
4458	विमय	पुं	x	2642	x	x	x
4459	उपनिधि	पुं	2786	2643	x	x	x
4459	न्यास	पुं	2786	2643	x	x	x
4459	निक्षेप	पुं	x	2643	x	x	x
4460	प्रतिदान	क्ली	2787	2644	x	x	x
4460	न्यासार्पण	क्ली	x	x	x	2644	x
4460	परिदान	क्ली	x	x	x	2644	2644
4461	क्रय्य	त्रि	2788	2646	x	x	x
4462	क्रेय	त्रि	2789	2645	x	x	x
4463	विक्रेय	त्रि	2790	2647	x	x	x
4463	पणितव्य	त्रि	2790	2647	x	x	x
4463	पण्य	त्रि	2790	2647	x	x	x
4464	सत्यापन	क्ली	2791	2648	x	x	x
4464	सत्यङ्कार	पुं	2791	2648	x	x	x
4464	सत्याकृति	स्त्री	2791	2648	x	x	x
4465	विपण	पुं	2792	2649	x	x	x
4465	विक्रय	पुं	2792	2649	x	x	x
4466	सङ्ख्या	स्त्री	2792.01	x	x	x	x
4467	यौतव	क्ली	2793	x	x	x	x
4467	पौतव	क्ली	x	2698	x	x	x
4468	द्रुवय	क्ली	2794	2699	x	x	x
4469	पाय्य	क्ली	2795	2700	x	x	x
4470	गुञ्जा	स्त्री	2795.01	2701	x	x	x
4471	आद्यमाषक	पुं	2796	x	x	x	x
4471	माषक	पुंक्ली	x	2702	x	x	x
4472	अक्ष	पुं	2797	2703	x	x	x
4472	कर्ष	पुंक्ली	2797	2703	x	x	x
4473	पल	क्ली	2798	x	x	x	x
4473	पल	पुंक्ली	x	2704	x	x	x
4474	सुवर्ण	पुं	2799	x	x	x	x
4474	बिस्त	पुं	2799	2705	x	x	x
4475	कुरुबिस्त	पुं	2800	2706	x	x	x
4476	तुला	स्त्री	2801	2707	x	x	x
4477	भार	पुं	2802	2708	x	x	x
4477	आचित	पुं	x	2708	x	x	x
4477	शाकट	पुं	x	2708	x	x	x
4477	शाकटीन	पुं	x	2708	x	x	x
4477	शलाट	पुं	x	2708	x	x	x
4478	शाकटभार	त्रि	2803	x	x	x	x
4478	भार	पुं	x	2708	x	x	x
4478	आचित	पुं	x	2708	x	x	x
4478	शाकट	पुं	x	2708	x	x	x
4478	शाकटीन	पुं	x	2708	x	x	x
4478	शलाट	पुं	x	2708	x	x	x
4479	आचित	पुंक्ली	2804	x	x	x	x
4479	आचित	पुं	x	2709	x	x	x
4479	आचित	क्ली	x	x	x	x	2709
4480	कार्षापण	पुं	2805	x	x	x	x
4480	कार्षिक	पुं	2805	x	x	x	x
4481	पण	पुं	2806	x	x	x	x
4482	आढक	पुंक्ली	2807	x	x	x	x
4482	आढक	त्रि	x	2712	x	x	x
4483	द्रोण	पुंक्ली	2808	2713	x	x	x
4484	खारी	स्त्री	2809	2714	x	x	x
4485	अङ्गुल	पुं	x	2715	x	x	x
4486	हस्त	पुं	x	2716	x	x	x
4487	दण्ड	पुं	x	2717	x	x	x
4488	गव्यूत	क्ली	x	2718	x	x	x
4488	क्रोश	पुं	x	2718	x	x	x
4489	योजन	क्ली	x	2720	x	x	x
4490	वाह	पुं	2810	x	x	x	x
4491	निकुञ्चक	पुं	2811	x	x	x	x
4492	कुडव	पुं	2812	2710	x	x	x
4493	प्रस्थ	पुं	2813	x	x	x	x
4493	प्रस्थ	पुंक्ली	x	2711	x	x	x
4494	पाद	पुं	2814	4299	x	x	x
4494	तुरीयभाग	पुं	x	4299	x	x	x
4495	अंश	पुं	2815	4298	x	x	x
4495	भाग	पुं	2815	4298	x	x	x
4495	वण्टक	पुं	2815	x	x	x	x
4495	वण्ट	पुं	x	4298	x	x	x
4496	द्रव्य	क्ली	2816	650	x	x	x
4496	वित्त	क्ली	2816	650	x	x	x
4496	स्वापतेय	क्ली	2816	650	x	x	x
4496	रिक्थ	क्ली	2816	650	x	x	x
4496	ऋक्थ	क्ली	2816	650	x	x	x
4496	धन	क्ली	2816	x	x	x	x
4496	वसु	क्ली	2816	650	x	x	x
4496	हिरण्य	क्ली	2816	x	x	x	x
4496	द्रविण	क्ली	2816	650	x	x	x
4496	द्युम्न	क्ली	2816	650	x	x	x
4496	अर्थ	पुं	2816	650	x	x	x
4496	रै	पुंस्त्री	2816	650	x	x	x
4496	विभव	पुं	2816	650	x	x	x
4496	सार	क्ली	x	650	x	x	x
4496	पृक्थ	क्ली	x	650	x	x	x
4496	स्व	पुंक्ली	x	650	x	x	x
4496	ऋक्ण	क्ली	x	650	x	x	x
4496	धन	पुंक्ली	x	650	x	x	x
4496	हिरण्य	पुं	x	650	x	x	x
4496	सार	पुं	x	x	x	x	650
4497	कोश	पुं	2817	x	x	x	x
4497	हिरण्य	क्ली	2817	3177	x	x	x
4497	कोश	क्ली	x	3177	x	x	x
4497	अकुप्य	क्ली	x	3177	x	x	x
4498	कुप्य	क्ली	2818	3178	x	x	x
4499	रूप्य	क्ली	2819	3179	x	x	x
4500	गारुत्मत	क्ली	2820	3212	x	x	x
4500	मरकत	क्ली	2820	3212	x	x	x
4500	अश्मगर्भ	पुं	2820	x	x	x	x
4500	हरिन्मणि	पुं	2820	3212	x	x	x
4500	अश्मगर्भ	क्ली	x	3212	x	x	x
4501	शोणरत्न	क्ली	2821	x	x	x	3213
4501	लोहितक	पुं	2821	3213	x	x	x
4501	पद्मराग	पुं	2821	x	x	x	x
4501	पद्मराग	पुंक्ली	x	3213	x	x	x
4501	लक्ष्मीपुष्प	क्ली	x	3213	x	x	x
4501	अरुणोपल	पुं	x	3213	x	x	x
4501	शोणरत्न	पुंक्ली	x	x	x	3213	x
4502	नीलमणि	पुं	x	3214	x	x	x
4502	इन्द्रनील	पुंक्ली	x	3214	x	x	x
4503	सूचीमुख	क्ली	x	3215	x	x	x
4503	हीरक	पुं	x	3215	x	x	x
4503	वरारक	क्ली	x	3215	x	x	x
4503	रत्नमुख्य	क्ली	x	3215	x	x	x
4503	वज्र	क्ली	x	3215	x	x	x
4504	विराटज	पुं	x	3216	x	x	x
4504	राजपट्ट	पुं	x	3216	x	x	x
4504	राजावर्त	पुं	x	3216	x	x	x
4504	वैराट्ट	पुं	x	x	x	3216	x
4504	वैराट	पुं	x	x	x	x	3216
4505	मौक्तिक	क्ली	2822	3221	x	x	x
4505	मुक्ता	स्त्री	2822	3221	x	x	x
4505	शुक्तिज	क्ली	x	3221	x	x	x
4505	मुक्ताफल	क्ली	x	3221	x	x	x
4505	रसोद्भव	क्ली	x	3221	x	x	x
4506	विद्रुम	पुं	2823	3217	x	x	x
4506	प्रवाल	पुंक्ली	2823	3217	x	x	x
4506	रक्ताङ्क	पुं	x	3217	x	x	x
4506	रक्तकन्द	पुं	x	3217	x	x	x
4506	हेमकन्दल	पुं	x	3217	x	x	x
4507	सूर्यकान्त	पुं	x	3218	x	x	x
4507	सूर्यमणि	पुं	x	3218	x	x	x
4507	सूर्याश्मन्	पुं	x	3218	x	x	x
4507	दहनोपल	पुं	x	3218	x	x	x
4508	चन्द्रकान्त	पुं	x	3219	x	x	x
4508	चन्द्रमणि	पुं	x	3219	x	x	x
4508	चान्द्र	पुं	x	3219	x	x	x
4508	चन्द्रोपल	पुं	x	3219	x	x	x
4509	क्षीरस्फटिक	पुं	x	3220	x	x	x
4509	तैलस्फटिक	पुं	x	3220	x	x	x
4509	खस्फटिक	पुं	x	3220	x	x	x
4510	रत्न	क्ली	2824	3210	x	x	x
4510	मणि	पुंस्त्री	2824	3210	x	x	x
4510	वसु	क्ली	x	3210	x	x	x
4510	माणिक्य	क्ली	x	x	x	3210	3210
4511	वैडूर्य	क्ली	x	3211	x	x	x
4511	वालवायज	क्ली	x	3211	x	x	x
4512	स्वर्ण	क्ली	2825	x	x	x	x
4512	सुवर्ण	क्ली	2825	x	x	x	x
4512	कनक	क्ली	2825	3176	x	x	x
4512	हिरण्य	क्ली	2825	x	x	x	x
4512	हेमन्	क्ली	2825	3176	x	x	x
4512	हाटक	क्ली	2825	3176	x	x	x
4512	तपनीय	क्ली	2825	3176	x	x	x
4512	शातकुम्भ	क्ली	2825	3176	x	x	x
4512	गाङ्गेय	क्ली	2825	3176	x	x	x
4512	भर्मन्	क्ली	2825	3176	x	x	x
4512	कर्बुर	क्ली	2825	3176	x	x	x
4512	चामीकर	क्ली	2825	3176	x	x	x
4512	जातरूप	क्ली	2825	3176	x	x	x
4512	महारजत	क्ली	2825	3176	x	x	x
4512	काञ्चन	क्ली	2825	3176	x	x	x
4512	रुक्म	क्ली	2825	x	x	x	x
4512	कार्तस्वर	क्ली	2825	3176	x	x	x
4512	जाम्बूनद	क्ली	2825	3176	x	x	x
4512	अष्टापद	पुंक्ली	2825	3176	x	x	x
4512	सुवर्ण	पुंक्ली	x	3176	x	x	x
4512	स्वर्ण	पुंक्ली	x	3176	x	x	x
4512	हेम	पुंक्ली	x	3176	x	x	x
4512	हिरण्य	पुंक्ली	x	3176	x	x	x
4512	वसु	क्ली	x	3176	x	x	x
4512	कल्याण	क्ली	x	3176	x	x	x
4512	रै	पुंस्त्री	x	3176	x	x	x
4512	रुक्मन्	क्ली	x	3176	x	x	x
4512	कलधौत	क्ली	x	3176	x	x	x
4512	लोहोत्तम	क्ली	x	3176	x	x	x
4512	वह्निबीज	क्ली	x	3176	x	x	x
4512	गारुड	क्ली	x	3176	x	x	x
4512	गैरिक	क्ली	x	3176	x	x	x
4512	चन्द्र	पुंक्ली	x	3176	x	x	x
4512	अर्जुन	क्ली	x	3176	x	x	x
4512	निष्क	पुंक्ली	x	3176	x	x	x
4512	रजत	क्ली	x	3176	x	x	x
4512	भूरि	क्ली	x	3176	x	x	x
4512	भूत्तम	क्ली	x	3176	x	x	x
4512	लोभन	क्ली	x	x	3176	x	x
4512	शुक्र	क्ली	x	x	3176	x	x
4512	तारजीवन	क्ली	x	x	3176	x	x
4512	औजस	क्ली	x	x	3176	x	x
4512	दाक्षायण	क्ली	x	x	3176	x	x
4512	रक्तवर्ण	क्ली	x	x	3176	x	x
4512	श्रीमत्	क्ली	x	x	3176	x	x
4512	कुम्भ	क्ली	x	x	3176	x	x
4512	शिलोद्भव	क्ली	x	x	3176	x	x
4512	वैणव	क्ली	x	x	3176	x	x
4512	कर्णिकारच्छाय	क्ली	x	x	3176	x	x
4512	वेणुतटीभव	क्ली	x	x	3176	x	x
4512	शातकौम्भ	क्ली	x	x	x	3176	3176
4512	हाटक	पुंक्ली	x	x	x	x	3176
4513	अलङ्कारसुवर्ण	क्ली	2826	3180	x	x	x
4513	शृङ्गीकनक	क्ली	2826	3180	x	x	x
4513	आयुध	क्ली	x	3180	x	x	x
4514	घनगोलक	पुंक्ली	x	3181	x	x	x
4515	पित्तला	स्त्री	x	3182	x	x	x
4515	आर	पुं	x	3182	x	x	x
4516	दुर्वर्ण	क्ली	2827	x	x	x	x
4516	रजत	क्ली	2827	3175	x	x	x
4516	रूप्य	क्ली	2827	3175	x	x	x
4516	खर्जूर	क्ली	2827	3175	x	x	x
4516	श्वेत	क्ली	2827	3175	x	x	x
4516	कलधौत	क्ली	x	3175	x	x	x
4516	तार	क्ली	x	3175	x	x	x
4516	दुर्वर्णक	क्ली	x	3175	x	x	x
4516	हिमांश्वाह्वय	क्ली	x	3175	x	x	x
4516	हंसाह्वय	क्ली	x	3175	x	x	x
4516	कुमुदाह्वय	क्ली	x	3175	x	x	x
4516	त्रापुष	क्ली	x	x	3175	x	x
4516	वङ्गं	क्ली	x	x	3175	x	x
4516	जीवन	क्ली	x	x	3175	x	x
4516	वसु	क्ली	x	x	3175	x	x
4516	भीरुक	क्ली	x	x	3175	x	x
4516	स्वभ्र	क्ली	x	x	3175	x	x
4516	सौम्य	क्ली	x	x	3175	x	x
4516	शोध्य	क्ली	x	x	3175	x	x
4516	रुच	क्ली	x	x	3175	x	x
4516	भीरु	क्ली	x	x	3175	x	x
4516	जवीयस	क्ली	x	x	3175	x	x
4516	सित	क्ली	x	x	x	x	3175
4517	रीति	स्त्री	2828	3183	x	x	x
4517	आरकूट	पुंक्ली	2828	3183	x	x	x
4517	कपिलोह	क्ली	x	3183	x	x	x
4517	सुवर्णक	क्ली	x	3183	x	x	x
4517	रिरी	स्त्री	x	3183	x	x	x
4517	रीरी	स्त्री	x	3183	x	x	x
4517	पीतलोह	क्ली	x	3183	x	x	x
4517	सुलोहक	क्ली	x	3183	x	x	x
4518	ताम्रक	क्ली	2829	x	x	x	x
4518	शुल्ब	क्ली	2829	3172	x	x	x
4518	म्लेच्छमुख	क्ली	2829	3172	x	x	x
4518	द्व्यष्ट	क्ली	2829	3172	x	x	x
4518	वरिष्ठ	क्ली	2829	3172	x	x	x
4518	उदुम्बर	क्ली	2829	3172	x	x	x
4518	ताम्र	क्ली	x	3172	x	x	x
4518	रक्त	क्ली	x	3172	x	x	x
4518	म्लेच्छ	क्ली	x	3172	x	x	x
4518	शाबर	क्ली	x	3172	x	x	x
4518	मर्कटास्य	क्ली	x	3172	x	x	x
4518	कनीयस	क्ली	x	3172	x	x	x
4518	ब्रह्मवर्धन	क्ली	x	3172	x	x	x
4518	पवित्र	क्ली	x	x	3172	x	x
4518	कांस्य	क्ली	x	x	3172	x	x
4518	औदुम्बर	क्ली	x	x	x	3172	x
4518	ओदुम्बर	क्ली	x	x	x	x	3172
4519	लोह	पुंक्ली	2830	3168	x	x	x
4519	शस्त्रक	क्ली	2830	x	x	x	x
4519	तीक्ष्ण	क्ली	2830	3168	x	x	x
4519	पिण्ड	क्ली	2830	3168	x	x	x
4519	कालायस	क्ली	2830	3168	x	x	x
4519	अयस्	क्ली	2830	3168	x	x	x
4519	अश्मसार	पुंक्ली	2830	x	x	x	x
4519	शस्त्र	क्ली	x	3168	x	x	x
4519	पारशव	पुंक्ली	x	3168	x	x	x
4519	घन	क्ली	x	3168	x	x	x
4519	गिरिसार	क्ली	x	3168	x	x	x
4519	शिलासार	क्ली	x	3168	x	x	x
4519	कृष्णामिष	क्ली	x	3168	x	x	x
4519	धीन	क्ली	x	x	3168	x	x
4519	धीवर	क्ली	x	x	3168	x	x
4519	गिरिसार	पुंक्ली	x	x	x	x	3168
4519	शिलासार	पुंक्ली	x	x	x	x	3168
4520	मण्डूर	क्ली	2831	3169	x	x	x
4520	सिंहाण	क्ली	2831	x	x	x	x
4520	सिंहान	क्ली	x	3169	x	x	x
4520	धूर्त	क्ली	x	3169	x	x	x
4520	सरण	क्ली	x	3169	x	x	x
4520	लोहकिट्टक	क्ली	x	3169	x	x	x
4521	तैजस	क्ली	2832	x	x	x	x
4521	लोह	क्ली	2832	x	x	x	x
4521	लौह	क्ली	x	3170	x	x	x
4522	कुशी	स्त्री	2833	3171	x	x	x
4523	क्षार	पुं	2834	3207	x	x	x
4523	काच	पुं	2834	3207	x	x	x
4524	कांस्य	क्ली	x	3185	x	x	x
4524	विद्युत्प्रिय	क्ली	x	3185	x	x	x
4524	घोष	पुं	x	3185	x	x	x
4524	प्रकाश	क्ली	x	3185	x	x	x
4524	वङ्गशुल्वज	क्ली	x	3185	x	x	x
4524	घण्टाशब्द	क्ली	x	3185	x	x	x
4524	असुराह्व	क्ली	x	3185	x	x	x
4524	रवण	क्ली	x	3185	x	x	x
4524	लोहज	क्ली	x	3185	x	x	x
4524	मल	क्ली	x	3185	x	x	x
4525	सौराष्ट्रक	क्ली	x	3186	x	x	x
4525	पञ्चलौह	क्ली	x	3186	x	x	x
4526	वर्तलोह	क्ली	x	3187	x	x	x
4526	वर्तक	क्ली	x	3187	x	x	x
4527	चपल	पुं	2835	x	x	3188	3188
4527	रस	पुं	2835	3188	x	x	x
4527	सूत	पुं	2835	3188	x	x	x
4527	पारद	पुं	2835	x	x	x	x
4527	पारद	पुंक्ली	x	3188	x	x	x
4527	पारत	पुंक्ली	x	3188	x	x	x
4527	हरबीज	क्ली	x	3188	x	x	x
4527	चल	पुं	x	3188	x	x	x
4528	गवल	क्ली	2836	x	x	x	x
4529	अभ्रक	क्ली	2837	3189	x	x	x
4529	गिरिज	क्ली	2837	3189	x	x	x
4529	अमल	क्ली	2837	3189	x	x	x
4529	स्वच्छपत्र	क्ली	x	3189	x	x	x
4529	ख	क्ली	x	3189	x	x	x
4529	मेघाख्य	क्ली	x	3189	x	x	x
4530	स्रोतोञ्जन	क्ली	2838	3190	x	x	x
4530	सौवीर	क्ली	2838	3190	x	x	x
4530	कापोताञ्जन	क्ली	2838	x	x	x	x
4530	यामुन	क्ली	2838	3190	x	x	x
4530	कापोत	क्ली	x	3190	x	x	x
4530	कृष्ण	क्ली	x	3190	x	x	x
4531	तुत्थाञ्जन	क्ली	2839	3191	x	x	x
4531	शिखिग्रीव	क्ली	2839	3191	x	x	x
4531	वितुन्नक	क्ली	2839	x	x	x	x
4531	मयूरक	क्ली	2839	3191	x	x	x
4531	तुत्थ	क्ली	x	3191	x	x	x
4532	मूषातुत्थ	क्ली	x	3192	x	x	x
4532	कांस्यनील	क्ली	x	3192	x	x	x
4532	हेमतार	क्ली	x	3192	x	x	x
4532	वितुन्नक	क्ली	x	3192	x	x	x
4533	कर्परी	स्त्री	2840	x	x	x	x
4533	दार्विका	स्त्री	2840	x	x	x	x
4533	तुत्थ	क्ली	2840	x	x	x	x
4533	कर्परिकातुत्थ	क्ली	x	3193	x	x	x
4533	अमृतासङ्ग	क्ली	x	3193	x	x	x
4533	अञ्जन	क्ली	x	3193	x	x	x
4534	रसाञ्जन	क्ली	2841	x	x	x	x
4534	रसगर्भ	क्ली	2841	3194	x	x	x
4534	तार्क्ष्यशैल	क्ली	2841	3194	x	x	x
4534	रसजात	क्ली	x	x	x	3194	3194
4534	रसाग्र्य	क्ली	x	x	x	3194	x
4534	रसाग्र	क्ली	x	x	x	x	3194
4535	गन्धाश्मन्	पुं	2842	3201	x	x	x
4535	गन्धिक	पुं	2842	3201	x	x	x
4535	सौगन्धिक	पुं	2842	3201	x	x	x
4535	शुल्वारि	पुं	x	3201	x	x	x
4535	पामारि	पुं	x	3201	x	x	x
4535	कुष्ठारि	पुं	x	3201	x	x	x
4535	गन्धक	पुं	x	3201	x	x	x
4535	शुकपुच्छ	पुं	x	3201	x	x	x
4536	चक्षुष्या	स्त्री	2843	3208	x	x	x
4536	कुलाली	स्त्री	2843	3208	x	x	x
4536	कुलत्थिका	स्त्री	2843	3208	x	x	x
4537	रीतिपुष्प	क्ली	2844	3195	x	x	x
4537	पुष्पकेतु	क्ली	2844	3195	x	x	x
4537	पौष्पक	क्ली	2844	3195	x	x	x
4537	कुसुमाञ्जन	क्ली	2844	x	x	x	x
4537	पुष्पाञ्जन	क्ली	x	3195	x	x	x
4538	माक्षिक	क्ली	x	3196	x	x	x
4538	कदम्ब	पुं	x	3196	x	x	x
4538	चक्रनामन्	पुं	x	3196	x	x	x
4538	अजनामक	पुं	x	3196	x	x	x
4538	वैष्णव	पुं	x	x	x	3196	3196
4539	ताप्य	पुं	x	3197	x	x	x
4539	नदीज	पुं	x	3197	x	x	x
4539	कामारि	पुं	x	3197	x	x	x
4539	तारारि	पुं	x	3197	x	x	x
4539	विटमाक्षिक	पुं	x	3197	x	x	x
4540	कासीस	क्ली	x	3199	x	x	x
4540	धातुकासीस	क्ली	x	3199	x	x	x
4540	खेचर	क्ली	x	3199	x	x	x
4540	धातुशेखर	क्ली	x	3199	x	x	x
4541	पुष्पकासीस	क्ली	x	3200	x	x	x
4541	कंसक	क्ली	x	3200	x	x	x
4541	नयनौषध	क्ली	x	3200	x	x	x
4542	पिञ्जर	क्ली	2845	3202	x	x	x
4542	पीतन	क्ली	2845	3202	x	x	x
4542	ताल	क्ली	2845	3202	x	x	x
4542	आल	क्ली	2845	3202	x	x	x
4542	हरितालक	क्ली	2845	x	x	x	x
4542	हरिताल	क्ली	x	3202	x	x	x
4542	विडालक	क्ली	x	3202	x	x	x
4542	विस्रगन्धि	क्ली	x	3202	x	x	x
4542	खर्जूर	क्ली	x	3202	x	x	x
4542	वंशपत्रक	क्ली	x	3202	x	x	x
4542	गोदन्त	क्ली	x	3202	x	x	x
4542	नटमण्डन	क्ली	x	3202	x	x	x
4542	वङ्गारि	पुं	x	3202	x	x	x
4542	लोमहृत्	क्ली	x	3202	x	x	x
4542	गोपित्त	क्ली	x	x	x	3202	3202
4543	गैरेय	क्ली	2846	3206	x	x	x
4543	अर्थ्य	क्ली	2846	3206	x	x	x
4543	गिरिज	क्ली	2846	3206	x	x	x
4543	अश्मज	क्ली	2846	3206	x	x	x
4543	शिलाजतु	क्ली	2846	3206	x	x	x
4544	बोल	पुं	2847	3209	x	x	x
4544	गन्धरस	पुं	2847	3209	x	x	x
4544	प्राण	पुं	2847	3209	x	x	x
